English words,French words,Frequency
abide,respecter,1
about,sur,5
above,au dessus,1
abroad,à l'étranger,8
absence,absence,82
abuse,abuser de,82
according,selon,82
account,Compte,2
accuse,accuser,82
acquainted,connaissance,4
action,action,2
advantage,avantage,3
advice,Conseil,82
affairs,affaires,4
affection,affection,2
affections,affections,2
afraid,peur,5
after,après,2
afterwards,ensuite,1
again,encore,2
alive,vivant,2
almost,presque,1
alone,seul,82
along,le long de,1
already,déjà,1
although,bien que,2
always,toujours,7
ambition,ambition,1
ancient,ancien,2
angel,ange,8
anger,colère,2
another,un autre,3
answer,répondre,1
anything,n'importe quoi,1
apparel,vêtements,2
appear,apparaître,22
appears,apparaît,22
approach,approche,1
argument,argument,1
ariel,Ariel,1
armour,armure,1
aside,de côté,1
asleep,endormi,1
assure,assurer,5
athens,Athènes,1
attend,assister,1
attended,assisté,1
authority,autorité,1
avoid,éviter,1
awake,éveillé,1
awhile,quelque temps,1
banish,bannir,20
barren,Dénudé,10
bassianus,bassianus,10
bastard,Connard,1
battle,bataille,1
beard,barbe,1
bearing,palier,1
bears,ours,7
beast,la bête,1
beaten,battu,2
beauty,beauté,9
because,car,2
become,devenir,20
bedford,Bedford,1
before,avant,1
beggar,mendiant,1
begin,commencer,1
behalf,nom,4
behind,derrière,1
behold,voir,5
being,étant,1
believe,croyez,1
belike,être comme,1
below,au dessous de,2
benefit,avantage,3
besides,outre,1
betray,trahir,1
better,mieux,1
between,entre,5
beyond,au-delà,3
birth,naissance,4
bishop,évêque,1
bitter,amer,2
black,noir,1
blame,faire des reproches,4
bless,bénir,20
blessing,bénédiction,1
blest,heureux,3
blind,aveugle,1
blood,du sang,1
blows,coups,1
blunt,cru,2
blush,rougir,1
bodies,corps,1
bones,des os,1
borne,supporté,1
bottom,bas,2
bought,acheté,1
bound,lié,1
bounty,prime,1
brain,cerveau,9
brains,cerveaux,9
brave,courageux,2
breast,Sein,82
breath,souffle,1
breed,race,1
brief,bref,1
bright,brillant,1
bring,apporter,5
broke,cassé,1
brook,ruisseau,82
brother,frère,1
brought,apporté,1
brows,sourcils,2
burden,fardeau,9
buried,enterré,1
burning,brûlant,1
business,Entreprise,82
cannot,ne peux pas,5
capitol,Capitole,1
captain,capitaine,1
cardinal,cardinal,2
cares,se soucie,82
carry,porter,5
castle,Château,9
catch,capture,1
cause,cause,82
cease,cesser,82
certain,certain,1
chain,chaîne,1
chair,chaise,82
challenge,défi,1
chamber,chambre,1
chance,chance,1
change,changement,8
charge,charge,2
charity,charité,1
chaste,chaste,1
cheek,joue,1
cheer,acclamation,1
chide,gronder,2
chief,chef,1
child,enfant,1
choice,choix,1
church,église,82
cinna,cinna,1
citizen,citoyenne,1
civil,civil,1
claim,prétendre,1
clarence,clarté,1
claud,claud,2
claudio,Claudio,2
clear,clair,1
clifford,Clifford,1
close,proche,2
cloten,cailloter,1
clothes,vêtements,2
clouds,des nuages,10
clown,pitre,1
college,Université,20
colour,Couleur,11
comes,vient,1
comfort,confort,3
coming,venir,20
cominius,cominius,20
command,commander,1
commanded,commandé,1
commend,saluer,2
commercial,commercial,1
commission,commission,1
commit,commettre,1
common,commun,1
companion,un compagnon,2
company,entreprise,82
complete,Achevée,1
complexion,complexion,1
condition,état,1
conduct,conduite,1
confess,avouer,1
conscience,conscience,1
consent,consentement,82
consider,considérer,1
constable,gendarme,1
constant,constant,1
contempt,mépris,7
content,contenu,10
contrary,contraire,1
copies,copies,1
copyright,droits d'auteur,1
could,pourrait,2
council,conseil,82
counsel,Conseil,82
count,compter,2
counterfeit,contrefaire,4
countess,comtesse,82
country,pays,1
courage,courage,2
course,cours,7
court,tribunal,1
courtesy,courtoisie,2
cousin,cousin,1
coward,lâche,1
crave,demander,3
creature,créature,1
credit,crédit,1
cromwell,Cromwell,1
cross,traverser,82
crown,couronne,1
cruel,cruel,2
cunning,ruse,82
cupid,Cupidon,1
curse,malédiction,1
custom,Douane,1
dagger,dague,1
damned,damné,1
dance,Danse,82
danger,danger,8
darkness,obscurité,1
daughter,fille,3
deadly,mortel,2
dearest,très cher,1
dearly,chèrement,1
death,décès,1
deeds,actes,1
defend,défendre,1
degree,diplôme,1
delight,délice,1
deliver,livrer,4
demand,demande,3
denied,refusé,1
depart,partir,22
desert,désert,82
deserve,mériter,2
desire,le désir,1
despair,désespoir,82
desperate,désespéré,82
despite,malgré,1
device,dispositif,1
devil,diable,1
devise,concevoir,5
didst,didst,1
dinner,dîner,1
discourse,discours,7
discover,découvrir,1
disgrace,disgrâce,1
dishonour,déshonorer,1
dispatch,envoi,1
displeasure,mécontentement,1
disposition,disposition,1
distributed,distribué,1
divine,Divin,1
doctor,docteur,1
doing,Faire,4
dolabella,Dolabella,1
doors,des portes,2
double,double,1
doubt,doute,1
download,Télécharger,2
dramatis,dramatis,1
drawn,tiré,1
dread,crainte,1
dreadful,horrible,1
dream,rêver,1
dreams,rêves,1
drink,boisson,1
drops,gouttes,1
drown,noyer,1
drums,tambours,7
drunk,ivre,4
duncan,Duncan,1
durst,durst,1
dwell,habiter,1
dying,en train de mourir,3
early,de bonne heure,1
earth,Terre,2
edmund,Edmund,1
effect,effet,2
egypt,Egypte,1
either,Soit,1
elbow,coude,1
elder,aîné,1
embrace,embrasse,82
emilia,Émilie,1
emperor,empereur,1
empty,vide,1
encounter,rencontre,2
endure,supporter,5
enemies,ennemis,2
enemy,ennemi,2
enjoy,prendre plaisir,5
enobarbus,énobarbus,1
enough,assez,82
enter,entrer,5
entertain,divertir,4
entertainment,divertissement,82
entreat,supplier,1
equal,égal,1
estate,biens,1
eternal,éternel,1
every,chaque,1
everything,tout,3
excellent,excellent,1
except,sauf,2
excuse,excuse,82
execution,exécution,1
exeter,Exeter,1
exeunt,sortir,1
express,Express,1
faces,visages,1
faint,perdre connaissance,4
fairy,Fée,1
faith,Foi,4
falls,des chutes,1
FALSE,faux,2
familiar,familier,2
fancy,fantaisie,1
farewell,adieu,1
farther,plus loin,3
fashion,mode,2
fatal,fatal,1
father,père,1
fault,faute,1
favour,favoriser,82
fearful,craintif,1
fears,peurs,5
feast,le banquet,1
feeble,faible,1
fellow,compagnon,2
fenton,Fenton,1
ferdinand,Ferdinand,1
fetch,chercher,2
field,champ,1
fiend,démon,1
fierce,féroce,1
fiery,ardent,1
fight,bats toi,1
figure,figure,1
finds,trouve,1
finger,doigt,1
first,première,1
flatter,flatter,1
flesh,la chair,1
flies,mouches,1
flight,vol,4
flood,inonder,1
flourish,fleurir,11
flower,fleur,11
flowers,fleurs,11
follow,suivre,4
folly,folie,1
foolish,insensé,82
fools,imbéciles,1
forbear,ancêtre,1
forbid,interdire,1
force,Obliger,1
forces,les forces,2
forest,forêt,1
forget,oublier,1
former,ancien,2
forsooth,en vérité,2
forth,en avant,1
fortune,fortune,3
forward,vers l'avant,6
fought,combattu,2
found,a trouvé,1
fourth,Quatrième,1
frame,Cadre,1
france,France,1
freely,librement,1
french,français,1
fresh,Frais,1
friend,ami,2
frown,froncer les sourcils,2
fruit,fruit,1
further,plus loin,3
gallant,galant,1
garden,jardin,1
gates,portes,2
gaunt,décharné,1
general,général,1
gentle,doux,1
ghost,fantôme,1
given,donné,1
giving,donnant,1
glass,verre,1
glorious,glorieux,1
glory,gloire,1
going,Aller,3
golden,d'or,1
goodness,la bonté,1
